#Front	Back	Pronunciation
Добрый день (утро)	Dzien dobry	Джень добры
Дайте, пожалуйста, билет (два билета) в … на … часов.	Prosze, о bilet (dwa bilety) do… na godzine …	прощэ” о билет (два билеты до … на годжинэ …
Вы хотите место спереди или сзади?	Czy woli pan(i) miejsce z przodu czy z tyl’u?	чшы воли пан(и) мейсцэ спшоду чы стылу
Пожалуйста, спереди, если можно.	Raczej z przodu, jesli moz- na.	рачэй спшоду ещьли мо жна
В котором часу при ходит автобус в …?	O kto’rej godzinie przyjezdza autobus do …?	о ктурэй годжине пшиежджа аутобус до …
Для автомобилистов	Dla automobilisto’w	для аутомобилистуф
Где здесь бензоколонка?	Gdzie tu jest stacja benzynowa?	гдже ту ест стацъя бэнзынова
Где можно заправиться бензином?	Gdzie moz’na zatankowac’ benzyne,.	гдже можна затанковач бэнзыне”
Дайте, пожалуйста, пять литров обыкновенного (дорогого) бензина.	Prosze mi dac’ 5 litro’w benzyny zwyklej (wysokooktanowej).	проще ми дачь пенчь литруф бэнзыны звыклэй (высокооктановэй)
Дайте, пожалуйста, банку масла.	Prosze, o ban’ke oliwy.	проще о баньке оливы
Какая дорога ведёт в…?	Kto’ra droga prowadzi do…	ктура дрога провадзи до …
Как проехать в…?	Kto’re,dy sie, jedzie do …	ктурэнды ще” едзе до …
Вы должны ехать прямо.	Prosze jechac’ prosto.	проще” ехачь просто
Можно ли ехать дальше по этой дороге?	Czy ta, droga, mozna dalej jechac’?	чши то” дрого” можная далей ехачь
Моя машина повреждена	Mo’j samocho’d zostal uszkodzony.	муй самохуд зостал ушкодзоны
Вызовите механика, монтёра.	Prosze, wezwac mechanika.	проще” вэзвачь мэханика
Я ранен, вызовите врача.	Jestem ranny. Prosze, wezwac lekarza.	естэм ранны проще” вэзваць лекажа
Прошу ваши документы.	Prosze, о pan’skie dokumenty.	проще” о панъске докумэнты
Вот мой паспорт и водительские права.	Oto mo’j paszport i prawo jazdy.	ото муй пашпорт и право язды
Прошу со мной в от деление (полиции).	Prosze, ze mnq do komisariatu	прошэ зе мно” до комисарияту
Есть ли здесь побли зости гараж?	Gdzie tu jest garaz’ w pobliz’u?	гдже ту ест гараш ф поближу
Разрешите оставить у вас мою машину?	Chcial’bym pozostawic’ samocho’d u pana.	хцчялбым позоставичь самохут у пана
Пожалуйста. Надолго?	Prosze, bardzo. Na jak dl’igo?	проще” боразо на як длуго
До завтрашнего утра.	Do jutra rana.	до ютра рана
Сколько стоит за сутки?	lie kosztuje garaz’owanie na dobe,?	иле коштуе гаражоване на добе
На два дня.	Na dwa dni.	на два дни
Прошу вымыть ма шину.	Prosze, umyc’ samocho’d.	проще” умычь самохут
Проверьте мотор.	Prosze, sprawdzic’ motor.	проще” справджичь мотор
Прошу переменить масло	Prosze, zmienic’ oliwe,.	проще” зменичь оливэ
Где находится бюро Морского судоходства?	Gdzie znajduja, sie, biura linii z’eglugi morskiej?	гдже знайдуйе ще” бюра линии жэглюги морскей
Пароход	Statek	статэк
Когда отходит пароход в…?	Kiedy odjez’dz’a statek do …?	кеды одъежджа статэк до …
Когда мы уезжаем?	Na kiedy wyznaczony jest odjazd?	на кеды вызначоны ест одъяст
Смогу ли я получить каюту на палубе?	Czy moge, otrzymac’ kajute, na pokl’adzie?	чы могэ очшимачь каютэ ма покладже
Дайте, пожалуйста, место в каюте первого (второго) класса.	Prosze, о miejsce w kajucie pierwszej (drugiej) klasy.	проще” о мейсцэ фкаюце перфшэй (другей) клясы
А в цену билета входит и питание?	Czy cena biletu obejmuje ro’wniez’ wyz’ywienie?	чы цэна билету обеймуе рувнеш выживене
Могу ли я получить двухместную каюту?	Czy moge dostac’ kajute na dwie osoby?	чы могэ достачь каютэ на две особы
Сколько времени продлится путешествие?	Jak dl’ugo trwa podro’z’?	як длуго трфа подруш
Пароход снимается с якоря.	Statek podnosi kotwice,.	статек подноси котфицэ
В открытом море.	Na pel’nym morzu.	на пэлным можу
Спокойное (неспокойное) море.	Morze jest spokojne (wzburzone).	може ест спокойнэ (взбужонэ)
Надвигается буря.	Bedzie burza.	бэндже бужа
Какие огромные волны!	Jakie pote,z’ne fale!	яке noтэнжнэ фале
Как вы переносите морское путешествие?	Jak pan(i) znosi podro’z’ morska,?	як пан(и) знощи подруш морско»
Очень хорошо (плохо)	Bardzo dobrze (z’le).	бардзо добже (жьле)
Я никогда не болею морской болезнью.	Nigdy nie cierpie, na chorobe, morska.	нигды не черпе” на хоробэ морско»
Я всегда болею морской болезнью.	Zawsze cierpie, na chorobe, morska,.	зафшэ черпе на хоробэ морско
Вызовите, пожалуйста, врача	Prosze, wezwac’ lekarza.	проще” вэзвачь лекажа
Принесите мне, пожалуйста, плед, шезлонг.	Prosze mi przynies’c’ pled, lez’ak.	прощэ” ми пшинещчь плет лежак
Мы входим в порт.	Wpl’ywamy do portu.	фплывамы до порту
Пароход причаливает (отчаливает).	Statek przycumowuje (odpl’ywa).	статэк пшыцумовуе одплыва
На какой улице я нахожусь?	Na jakiej ulicy jestem?	на якей улицы естэм
Какая это улица?	Jaka to ulica?	яка то улица
Какой ваш адрес?	Jaki jest pana(-i) adres?	яки ест пана(-и) адрэс
Я живу в гостинице „Бристоль».	Mieszkam w hotelu „Bristol».	мешкам в хотэлю бристоль
Я живу на частной квартире.	Mieszkam w mieszkaniu prywatnym.	мешкам в мешканю прыватным
Где помещается Горсовет?	Gdzie jest siedziba Miejskiej Rady Narodowej?	гдже ест щеджиба мейскей рады народовэй
Куда я должен прийти (пойти)?	Gdzie mam przyjs’c’ (po’js’c’)?	гдже мам пшийщчь (пуйщчь)
Где мы встретимся?	Gdzie sie, spotkamy?	гдже ще» споткамы
У меня (тебя) дома.	U mnie (ciebie) w domu.	у мне (чебе) в дому
У меня в номере.	U mnie w hotelu.	у мне в хотэлю
В каком месте?	W kto’rym miejscu?	ф ктурым мейсцу
Где ждать тебя?	Gdzie mam na ciebie czekac’?	гдже мам на чебе чекач
Я буду ждать (жди меня):	Be,de, czekac’ (czekaj na mnie):	бэ»дэ» чэкачь (чэкай на мне)
Лучше всего вы доедете на 102-м автобусе.	Najlepiej dojedzie pan(i) autobusem numer 102.	найлепей доедже пан(и) ayтобусэм нумэр сто два
Садитесь в трамвай № 3.	Prosze, wsia,s’c’ do tramwaju nr 3.	проше всё»щчь до трамваю нумэр чши
Где находится трамвайная остановка?	Gdzie jest przystanek tramwajowy?	гдже ест пшистанек трамваёвы
Дайте обычный, автобусный, трамвайный билет (со скидкой).	Prosze, о bilet normalny (ulgowy), autobusowy, tramwajowy.	прошэ» о билет нормальны (ульговы) аутобусовы трамваёвы
Этот трамвай (автобус, троллейбус) идет до…?	Czy ten tramwaj (autobus, trolejbus) jedzie do …?	чы тэн трамвай (аутобус тролейбус) едже до
Этот трамвай (автобус, троллейбус) идет в противоположном направлении.	Ten tramwaj (autobus, trolejbus) jedzie w przeciwnym kierunku.	тэн трамвай (аутобус тролейбус) едже в пшэчивным керунку
Где я должен пересесть?	Gdzie sie, mam przesia,s’c’?	гдже ще» мам пшэщё»щчь
Вы должны выйти у… и сесть в третий трамвай.	Musi pan(i) wysia,s’c’ przy … i wsia,s’c’ do tro’jki.	муси пан(и) выщё»щчь пши и вщёнcъцъ до труйки
Сколько остановок до…?	Ile przystanko’w do …?	иле пшистанкуф до
Вы должны выйти на этой остановке.	Pan(i) wysiada tutaj.	пан(и) выщяда тутай
Вы должны ехать до конца.	Jedzie pan(i) do kon’ca.	едже пан(и) до коньца
Билеты продаются в (газетных) киосках „Рух».	Bilety do nabycia w kioskach ,,Ruchu».	билеты, до набычя в киосках руху
Вы выходите на следующей остановке?	Сzу wysiada pan(i) na naste,pnym przystanku?	чши выщяда пан(и) на настэмпным пшистанку
Где здесь ближайшая стоянка такси?	Gdzie tu jest w pobliz’u posto’j takso’wek?	гдже ту ест фпоближу постуй таксувэк
Можно ли вызвать такси по телефону?	Czy moz’na zamo’wic’ takso’wke, telefonicznie?	чшы можна замувичь таксуфкэ тэлэфоничне
Где можно найти такси?	Ska,d moge, wzia,c’ takso’wke,?	сконт могэ вжёнщчь таксуфкэ
Вы свободны?	Czy wolny?	чшы вольны
В гостиницу „ Бристоль».	Do hotelu „Bristol»	Do hotelu „Bristol»
Прошу остановиться.	Prosze, sie, tu zatrzymac’.	прошэ» ще» ту зачшимачь
Подождите, пожалуйста.	Prosze, na mnie zaczekac’.	прошэ» на мне зачэкачь
Сколько с меня (следует)?	lie pl’ace,?	иле плацэ
остановка	przystanek	пшистанэк
Где находится остановка трамвая номер 8, автобуса номер 124?	Gdzie jest przystanek tramwaju numer 8, autobusu numer 124?	Гдзе ест пшистанек трамваю нумер ощем, автобусу нумер сто двадещча чтэры?
Где я могу купить билет?	Gdzie moge kupic bilet?	Гдзе моге купич билет?
Как мне дойти/доехать до улицы У, площади П, на вокзал?	Jak dojsc/dojechac, do ulicy U, placu P, na dworzec?	Як доищч/доехач до улицы У, плацу П, на двожэц?
Место для инвалида	Miejsce dla inwalidy	мейсцэ для инвалиды
Место для матери и ребёнка	Miejsce dia matki z dzieckiem	мейсцэ для матки з джецкем
Нажать!	Nacisna,c’!	начисноньчь
He дотрагиваться!	Nie dotykac’!	не дотыкачь
He высовываться!	Nie wychylac’ sie,!	не выхыляч ше”
Остановка	Przystanek	пшистанэк
Остановка по требованию	Przystanek na z’a,danie	пшистанэк на жондане
Адрес. Место жительства	Adres. Miejsce zamleszkania	адрэс мейсцэ замешканя
Где вы живёте?	Gdzie pan(i) mieszka?	гдже пан(и) мешка
На какой улице вы живёте?	Przy jakiej ulicy pan(i) mie szka?	пши якей улицэ пан(и) мешка
Я живу на улице Пулавской, д. 17, II-ой подъезд, кв. 3, III этаж.	Mieszkam przy ulicy Puiawskiej 17, II klatka, m 3, II pietro.	мешкам пши улицы пулавскей щедэмнащче друга клятка мешканя чши друге пентро
Кому поставлен этот памятник?	Czyj to pomnik?	чый то помник
Кто изображён на этой картине?	Kogo przedstawia ten obraz?	кого пшэтставя тэн обрас
НН был известным писателем.	NN byl’ sl’awnym pisarzem.	НН был славным писажэм
В каком веке был построен этот дворец?	W kto’rym wieku zbudowano ten pal’ac?	ф ктурым веку збудовано тэн палац
Этот замок был построен в XVI в.	Ten zamek zbudowano w XVI wieku.	тэн замэк збудовано ф шэснастым веку
Здесь произошла большая забастовка рабочих.	Tutaj odbyl’ sie, wielki strajk robotniko’w.	тутай одбыл ще» вельки страйк роботникуф
Здесь похоронен…	Tutaj lez’y (jest pochowany)…	тутай лежы (ест похованы)
парикмахер	tryzjer	фрызьер
парк	park	парк
пассаж	pasaz’	пасаш
пляж	plaz’a	пляжа
побережье	wybrzez’e	выбжэжэ
полицейский	policjant	полициант
посёлок	osiedle	ощедле
постройка	budowa	будова
посольство	ambasada	амбасада
предприятие	przedsie,biorstwo	пшздщембёрстфо
почтовое отделение	urza,d pocztowy	ужонт почтовы
пригород	przedmies’cie	пшэдмещче
район	dzielnica	дзельница
угол улицы	ro’g ulicy	руг улицы
университет	uniwersytet	унивэрсытэт
фабрика	fabryka	фабрыка
фонарь	latarnia	лятарня
цветочный магазин	kwiaciarnia	кфячярня
центр города	centrum miasta	цэнтрум мяста
электростанция	elektrownia	электровня
этаж	pie,tro	пентро
Могу ли я получить лекарство по этому рецепту?	Czy moge, otrzymac’ lekarstwo wedl’ug tej recepty?	чы могэ отшимачь лэкарстфо вэдлук тэй рэцэпты
Когда будет готово?	Kiedy be,dzie gotowe?	кеды бэньдже готова
За лекарством приходите:	Ро lekarstwo prosze, przyjs’c’:	пo лекарстфо прошэ пшийщчь
— в 7 часов вечера.	— о sio’dmej wieczo’r.	о щюдмэй вечур
работает только в будние дни	Otwarte tylko w dni powszednie	отфартэ тылько в дни пофшэдне
Курить (строго) воспрещается!	Palenie (surowo) wzbronione	паление (сурово) взбронёнэ
Толкнуть!	Pchnac’!	пхноньч
Потянуть!	Pocia,gna,c’!	почёнгнонч
Просят закрывать дверь!	Prosze, zarnykac’ drzwi!	прошэ» замыкачь джви
Вход	Wejs’cie	вэйщче
Вход воспрещён	Wejs’cie wzbronione	вейщче взбронёнэ
Вода для питья	Woda do picia	вода до пичя
Вход свободный	Wste,p wolny	фстэмп вольны
Выход в город	Wyjs’cie do miasta	выйщче до мяста
Выход	Wyjs’cie	выйщче
Выдача денег по почтовым переводам	Wypl’aty przekazo’w pienie,z’nych	выплаты пшэказуф neнё”жных
Забронировано	Zarezerwowany	зарэзэрвованы
Занято	Zaje,te	зае»тэ
Кафе	Kawiarnia	кавярня
Цветочный магазин	Kwiaciarnia	кфяцярня
Врач	Lekarz	лекаш
отделение полиции	posterunek policjl	постэрунэк полицьи
В котором часу?	O kto’rej godzinie?	о ктурэй годжине
Который час	Ktora godzina	Ктура годжина
5 часов 10 минут	Dziesiec (10) po piatej (5)	Дещенч по пёнтэй
Без пятнадцати шесть	Za pietnascie szosta	За пентнащче шуста
Ровно три	Punkt trzecia	Пункт тшеча
Двенадцать часов сорок минут	Dwunasta czterdziesci	Двунаста чтердещчи
Я приду через пять минут	Wracam za piec minut	Врацам за пенч минут
Утро	Rano	Рано
День	Dzien	Джень
Сутки	Doba	Доба
Ночь	Noc	Ноц
Вечер	Wieczyr	Вечур
Неделя	Tydzien	Тыджень
Месяц	Miesiac	Мещёнц
Прошлый	Ubiegly	У беглы
Будущий	Przyszly	Пшишлы
Год	Rok	Рок
два с половиной года	dwa i po’l’ roku	два и пул року
час и пятнадцать минут	godzina i kwadrans	годжина и квадранс
Часы наручные	zegarek	зэгарек
единицы времени	jednostki czasu	едностки тшасу
секунда	sekunda	сэкунда
минута	minuta	минута
час	godzina	годжина
несколько секунд, минут, часов	kilka sekund, minut, godzm	килька сэкунт, минут, годжин
3 четверти	trzy kwadranse	чши кфадрансэ
полчаса	po’l’ godzilny	пул годжины
полтора часа	po’l’torej godzilny	пулторэй годжины
час и четверть	godzina i kwadrans	годжина и кфадранс
2 часа и 7 минут	2 godzilny i 7 minut	две годжины и щедэм минут
Сколько времени?	ile czasu?	иле тшасу
Это продолжается два часа.	То trwa dwie godziny.	то трфа две годжины
Который час?	Kto’ra godzina?	ктура годжина
Без 8 минут 3 (часа).	Za 8 minut 3.	за ощем минут чшэчя
Ровно 5 часов.	Jest dokl’adnie pia,ta.	ест докладне пёнта
Который час у вас?	Kto’ra godzina u pana(i)?	ктура годжина у пана(-и)
Придите к шести.	Prosze, przyjs’c’ na szo’sta,.	прошэ» пшыйщчь на шустo”
У вас точное время?	Czy ma pan(i) dokl’adny czas?	чы ма пан(и) докладны час
Мои часы	Mo’j zegarek	муй зэгарэк
Во сколько?	O kto’rej godzinie?	о ктурэй годжине
В семь пятнадцать.	O sio’dmej pietnas’cie.	о сюдмэй петнащче
Когда я должен прийти?	Kiedy mam przyjs’c’?	кеды мам пшийщчь
Придите, пожалуйста, около шести часов.	Prosze, przyjs’c’ przed szosta,.	прошэ пшийщчь пшэт шусто”
Прошу прийти через два часа.	Proeze, przyjs’c’ za dwie godziny.	прошэ пшийщчь за две годжины
Я вернусь через 10 минут.	Wracam za 10 minut.	врацам за джещеньчь минут
— за 5 минут до на чала сеанса.	— 5 minut przed rozpocze,ciem seansu.	пенчь минут пшэд розпоче»чем сеансу
— через 10 минут после открытия магазина.	— 10 minut po otwarciu sklepu	джещёнчь минут по отварчю склепу
С которого часа?	Od kto’rej godziny?	от ктурэй годжины
До которого часа?	Do kto’rej godziny?	до ктурэй годжины
С 4:30	Od godziny 430.	од годжины чфартэй чшиджещчи
До 7 часов.	Do godziny 7	до годжины щюдмэй
Время суток	Рогу dnia	поры дня
день (днём)	(w) dzien’	(в) джень
утро, утром	ranek	rano
до обеда	przed pol’udniem	пшэт полуднем
(в) полдень	w po’ludnie	(ф) полудне
после обеда	po pol’udnlu	по полудню
вечер(вечером)	wieczo’r (wieczorem)	вечур (вечорэм)
ночь (ночью)	noc (w nocy)	ноц (в ноцы)
полночь (в полночь)	po’l’noc (o po’l’nocy)	пулноц (о пулноцы)
на рассвете	о s’wecie	о щвече
в сумерки	о zmierzchu	о змешху
Календарь	Kalendarz	календаш
день, сутки	dzien’	doba
1 день	jeden dzien’	едэн джень
неделя	tydzien’	тыджень
1 неделя	Jeden tydzien’	едэн тыджень
несколько, 5 недель	kilka, 5 tygodni	килька, пеньчь тыгодни
несколько, 5 месяцев	kilka, 5 mieslecy	килька, пеньчь мещёнцы
десятилетие	dziesie,ciolecle	джещёнцёлече
несколько, 5 лет	kilka, 5 lat	килька пеньць лят
век, столетие	wiek	stulecle
тысячелетие	tysia,clecie	тыщёнцлече
период	okres	окрэс
Дни недели	Dni tygodnia	дни тыгодня
вторник, во вторник	wtorek, we wtorek	фторэк, вэ фторек
среда, в среду	s’roda, w s’rode’	щрода, ф щродэ’
четверг, в четверг	czwartek, w czwartek	чфартэк, фчфартэк
пятница, в пятницу	pia,tek, w pia,tek	пёнтэк, ф пёнтэк
Какой сегодня день?	Со za dzien’ mamy dzisiaj?	цо за джень мамы джищай
Сегодня среда.	Dzis’ jest s’roda.	джишь ест щрода
Вчера была пятница.	Wczoraj byl’ pia,tek.	фчорай был пёнтэк
Завтра будет четверг.	Jutro mamy czwartek.	ютро мамы чфартэк
На когда?	Na kiedy?	на кеды
На понедельник.	Na poniedzia’lek	на понеджялэк
С какого времени?	Od kiedy?	oт кеды
По какое время?	Do kiedy?	до кеды
От вторника до пят ницы.	Od wtorku do pia,tku.	oт фторку до пёнтку
В этот понедельник.	W ten poniedzial’ek.	ф тэн понедзялэк
В прошлый вторник.	W ubiegl’y wtorek.	в убеглы фторэк
В будущую среду.	W przyszl’a, s’rode,.	ф пшишло” щьродэ
На этой неделе.	W tym tygodniu.	ф тым тыгодню
На прошлой неделе	W ubiegl’ym tygodniu.	в убеглым тыгоднию
На будущей неделе.	W przyszl’ym tygodniu.	ф пшишлым тыгодню
На всю неделю.	Na cal’y tydzien.	на цалы тыджень
На несколько недель.	Na kilka tygodni.	на килька тыгодни
Через неделю.	Za tydzien’.	за тыджень
Месяцы и времена года	Miesia,ce i pory roku	месщнцэ и поры року
январь	styczen’	стычэнь
февраль	luty	люты
март	marzec	мажэц
апрель	kwiecien’	кфечень
май	maj	май
июнь	czerwiec	чэрвец
июль	lipiec	липец
август	sierpien’	щерпень
сентябрь	wrzesien’	вжэщень
октябрь	pazdziernik	пажьджерник
ноябрь	listopad	листопат
декабрь	grudzien’	груджень
Несколько месяцев.	Kilka miesie,c.y	килька мещёнцы
В этом месяце.	W tym miesia,cu.	ф тым месёнцу
В прошлом месяце.	W ubiegl’ym miesia,cu.	в убеглым мещёнцу
В будущем месяце.	W przyszl’ym miesia,cu.	ф пшишлым мещёнцу
Через 2, 3 месяца	Za 2, 3 miesia,ce.	за два, чши мещёнцэ
В январе, феврале.	W styczniu, w lutym.	ф стычню в лютым
Через год, два	Za rok, dwa	за рок два
За январь, февраль.	Za styczen’, luty.	за стычень, люты
На январь, февраль и т.д.	Na styczen’, luty itd.	на стычень, люты итд
С апреля месяца.	Od kwietnia.	от кфетня
С марта до мая.	Od marca do maja.	од марца до мая
ВРЕМЕНА ГОДА	POKY ROKU	поры року
лето, летом	lato, w lecile	лято, в лече
весна, весной	wiosna, na wiosne	вёсна, на вёснэ»
зима, зимой	zima, w zimie	жима, в жиме
осень, осенью	jesien’, jesienia	ещень, eщенё”
Какое сегодня число?	Kto’rego dzis’ mamy?	ктурэго джищ мамы
Число	Data	дата
Сегодня 3 апреля.	Dzis’ jest 3 kwietnia.	джищ ест чшэчэго кфетня
5 марта.	5 marca.	пёнтего марца
Седьмого апреля.	Sio’dmego kwietnia.	щюдмэго кфетня
День: приезда	Data: przyjazdu.	дата: пшиязду
Год рождения.	Rok urodzenia.	рок уродзэня
В этом году, в текущем году.	W tym roku	w roku biez’a,cym.
В прошлом году.	W ubiegl’ym roku.	в убеглым року
В будущем году.	W roku przyszl’ym.	в року пшишлым
Сколько это стоит?	Ile to kosztuje?	Иле то коштуе
Приём товара	Przyjecie towaru	пшиеньче товару
Плата, счёт	Pl’acenie	liczenie
Это стоит 50 зл.	То kosztuje 50 zl’.	то коштуе пеньчджещёнт злотых
Сколько это стоит?	Ile to kosztuje?	иле то коштуе
Сколько вы заплатили за это?	lle pan(i) zapl’acil’(a) za to?	иле пан(и) заплачил(а) за то
Я заплатил 300 зл.	Zapl’acil’em (-am) 300 zl’.	заплачилэм (-ам) чшиста злотых
Прошу посчитать деньги.	Prosze, policzyc’ pienia,dze.	прошэ поличычь пенёндзэ
Хорошо ли вы посчитали?	Czy policzyl’(a) pan(i) dobrze?	чы поличыл(а) пан(и) добжэ
Посчитайте ещё раз.	Prosze policzyc’ jeszcze raz.	прошэ поличычь есче рас
Вы ошиблись.	Pan(i) sie, pomylil’(a).	пан(и ще” помылил(а)
Да, я ошибся.	Pomylil’em(-am) sie,.	помылилэм(-ам) ще”
Правильно.	Zgadza sie,.	згадза ще”
Разменяйте, пожалуйста, 20 злотых.	Prosze mi rozmienic’ dwadzies’cia zl’otych.	прошэ ми розменичь дваджещьчя злотых
Можете ли вы разменять мне 100 зл.?	Czy moz’e mi pan(i) rozmienic’ 100 zl’otych?	чы можэ ми пан (и) розменичь сто злотых
Счёт, пожалуйста	Prosze o rachunek	Проше о рахунэк
один, одна, одно	Jeden; -na; -nо	едэн, -на, -но
два, две	dwa; dwie	двa, две
три	trzy	чши
четыре	cztery	чтэры
пять	piec	пеньчъ
шесть	szesc	шещчь
семь	siedem	щедэм
восемь	osiem	осем
девять	dzlewiec	джевеньчь
десять	dziesiec	джесеньчь
одиннадцать	jedenascie	едэнащче
двенадцать	dwanascie	дванащче
тринадцать	trzynascie	тшинащче
четырнадцать	czternascie	чтэрнащче
пятнадцать	pietnascie	пе”тнащче
шестнадцать	szesnascie	шэснащче
семнадцать	siedemnascie	щедэмнащче
восемнадцать	osiemnascie	ощемнащьче
девятнадцать	dziewietnascie	джеве”тнащьче
двадцать	dwadziescia	дваджещчя
двадцать один	dwadziescia jeden	дваджещчя едэн
двадцать два	dwadziescia dwa	дваджещчя два
тридцать	trzydziesci	чшиджещчи
сорок	czterdziesci	чтэрджещчи
пятьдесят	piecdziesiat	пеньчджесёнт
шестьдесят	szescdziesist	щещчджесёнт
семьдесят	siedemdziesiat	щедэмджесёнт
восемьдесят	osiemdziesiat	ощемджещёнт
девяносто	dziewiecdziesist	джевеньчьджещёнт
сто	sto	сто
сто один	sto jeden	cтo едэн
сто десять	sto dziesiec	сто джещеньчь
двести	dwiescie	двещче
триста	trzysta	тшиста
четыреста	czterysta	чтэрыста
пятьсот	piec’set	пеньчьсэт
шестьсот	szescset	щэщчьсэт
семьсот	siedemset	щедэмсэт
восемьсот	osiemset	ощемсэт
девятьсот	dziewiecset	джевеньчьсэт
тысяча	tysiac	тыщёнц
тысяча один	tysiac jeden	тыщёнц едэн
две, три, четыре тысячи	dwa; trzy; cztery tysiace	два, тши, чтэры тыщёнцэ
миллион	milion	мильон
два, три, четыре миллиона	dwa; trzy; cztery mlliony	два, тши, чтэры мильоны
Порядковые числительные	Liczebniki porzadkowe	личебники пожонтковэ
первый, -ая, -ое	pierwszy; pierwsza; pierwsze	перфши, перфша, перфше
второй, -ая, -ое	drugi; -a; -е	други, -а, -э
третий, третья, -е	trzeci; -a; -е	тшечи, чшэчя, -э
четвёртый, -ая, -ое	czwarty; -a; -е	чфарты, -а, -э
пятый, -ая, -ое	piaty; -a; -е	пёнты, -а, -э
шестой, -ая, -ое	szósty; -a; -е	шусты, -а, -э
седьмой, -ая, -ое	siódmy; -a; -е	щюдмы, -а, -э
восьмой, -ая, -ое	ósmy; -a; -е	усмы, -а, -э
девятый, -ая, -ое	dziewiaty; -a; -е	джевёнты, -а, -э
десятый, -ая, -ое	dziesiaty; -a; -е	джещёнты, -а, -э
одиннадцатый, -ая, -ое	jedenasty; -a; -е	едэнасты, -а, -э
двадцатый, -ая, -ое	dwudziesty; -a; -е	двуджесты, -а, -э
двадцать первый	dwudziesty pierwszy	двуджесты перфши
двадцать второй	dwudztesty drugi	двуджесты други
сотый	setny	сэтны
тысячный	tysieczny	тыщёнцны
Собирательные числителые	Liczebniki zbiorowe	личебники збёровэ
оба, обе	obaj; obydwaj; obie	обай, обыдвай, обе
двое, четверо	dwoje; czworo	двойе, чфоро
тридцать	trzydziescioro	чшиджещчёро
Экскурсия по городу	Zwiedzanie miasta	зведзане мяста
Сегодня я хочу осмотреть город.	Chcial’bym dzis’ zwiedzic’ miasto.	хчялбым джишь зведжичь място
Что вы хотите посмотреть?	Со chcial'(a)by pan(i) zobaczyc’?	цо хцял(а)бы пан(и) зобачшичь
Я хочу поехать на экскурсию в горы(на море).	Chcial’bym pojechac’ na wycieczke, w go’ry (nad morze)	хчялбым поехачь на вычечке в гуры (над може)
Ты хочешь поехать с нами на экскурсию?	Czy chcesz jechac’ z nami na wycieczke,?	чшы хцэш ехачь з нами на вычечке
Куда вы поедете?	Doka,d jedziecie?	доконт еджече
Завтра на озеро Снярдвы.	Jutro pojedziemy nad jezioro S’niardwy.	ютро поеджемы над езёро щнярдвы
На чём поедете?	Czym pojedziecie?	чым поеджече
Мы пойдём пешком.	Po’jdzienny pieszo.	пуйджемы пешо
Я хочу побывать в Желязовой Воле.	Chce, zwiedzic’ Z’elazowa, Wole,.	хцэ» зведжичь жэлязово» воле
Это далеко?	Czy to daleko?	чши то далеко
Очень близко.	То bardzo blisko.	то бардзо блиско
Мы можем пройти пешком.	Moz’emy przejs’c’ pieszo.	можэмы пшэйщчь пешо
Есть ли у вас необходимое снаряжение?	Czy ma pan(i) odpowiedni ekwipunek?	чы ма пани отповедни экфипунэк
У меня нет необходимого снаряжения.	Nie mam niezbe,dnego ekwipunku.	не мам незбэнднэго экфипунку
Когда мы выходим?	Kiedy wychodzimy?	кеды выходжимы
Мы выходим в пятницу в 6 часов утра.	Wyruszamy w pia,tek о (godzinie) 6 rano.	вырушамы ф пёнтэк о (годжине) шустэй рано
Сборный пункт на вокзале в 6 часов.	Zbio’rka na dworcu о godzinie 6.	збюрка на дворцу о годжинэ шустэй
На экскурсии	Na wycieczce	на вычечцэ
Все пришли?	Czy wszyscy przyszli?	чшы фшисцы пшишли
Вы всё взяли с собой?	Czy wszystko zabralis’cie ze soba,?	чшы фшистко забралищче зэ собо»
Да. Все.	Tak. Wszyscy.	так фшисцы
Скажите, пожалуйста, как можно пройти к…	Prosze, nam powiedziec’	jak moz’emy przejs’c’ do …
Далеко ли до деревни?	Jak daleko do wsi?	як далеко до фси
Где находится деревня?	Gdzie znajduje sie, wies’?	гдже знайдуе ще» вещ
Сверните вправо (влево).	Prosze, skre,cic’ w prawo (w lewo).	прошэ скрэнчичь ф право (в лево)
Идите прямо!	Prosze, is’c’ prosto.	прошэ ищчь просто
Далеко ли до турбазы?	Czy daleko do schroniska?	чшы далеко до схрониска
Где можно будет остановиться на ночь?	Gdzie sie, be,dzie moz’na zatrzymac’ na noc?	гдже ще» бэньдже можна зачшимачь на ноц
Можете ли вы нам продать немного молока (сыра, смета ны)?	Czy moz’ecie nam sprzedac’ troche, mieka (sera, s’mietany)?	чшы можэче нам спшэдачь трохэ млека (сэра щметаны.)
Мы голодны, можетели вы продать нам что-либо съестное?.	Jestes’my gl’odni, czy moz’ecie nam sprzedac’ cos’ do jedzenia?	естэщы глодни чы можече нам спшэдачь цощ до едзеня
Есть ли по дороге какой-нибудь шалаш?	Czy jest jakis’ szal’as po drodze?	чшы ест якищ шалас по дродзе
Я устал. Давайте немного отдохнём.	Zme,czyl’em sie’. Odpocznijmy troche,.	змэнчылэм ще» отпочниймы трохэ
Разрешите познакомиться, я … <называя статус, должность>	Pozwoli pan(i) z’e sie, przedstawie, jestem …	позволи пан(и) же ще» пшэтставе» естэм
